Year,Geography,Code,Name,66 + years (%)
2009,wijken,KD,Museumkwartier,11.9
2009,wijken,KE,Oude Pijp,5.1
2009,wijken,KF,Nieuwe Pijp,9.3
2009,wijken,KG,Zuid Pijp,10.1
2009,wijken,KH,Stadionbuurt,11.3
2009,wijken,KJ,Apollobuurt,14.8
2009,wijken,KK,Scheldebuurt,12.6
2009,wijken,KL,IJselbuurt,9.7
2009,wijken,KM,Rijnbuurt,12.1
2009,wijken,KN,Prinses Irenebuurt e.o.,22.4
2009,wijken,KP,Zuidas,1.5
2009,wijken,KQ,Buitenveldert-West,26.5
2009,wijken,KR,Buitenveldert-Oost,33.2
2009,wijken,MA,Oostelijk Havengebied,3.6
2009,wijken,MB,Weesperzijde,5.2
2009,wijken,MC,Oosterparkbuurt,6.6
2009,wijken,MD,Transvaalbuurt,6.1
2009,wijken,ME,Dapperbuurt,8.8
2009,wijken,MF,Indische Buurt-West,6.3
2009,wijken,MG,Indische Buurt-Oost,9.7
2009,wijken,MH,Zeeburgereiland/Bovendiep,1.5
2009,wijken,MJ,IJburg-West,2
2009,wijken,MK,IJburg-Oost,
2009,wijken,ML,IJburg-Zuid,3.6
2009,wijken,MM,Frankendael,15.9
2009,wijken,MN,Middenmeer,9.9
2009,wijken,MP,Betondorp,26.5
2009,wijken,MQ,Omval/Overamstel,3.1
2009,wijken,NB,Noordelijke IJ-oevers-West,2.8
2009,wijken,NC,Tuindorp Oostzaan,18.2
2009,wijken,ND,Kadoelen,13.9
2009,wijken,NE,Banne Buiksloot,14.2
2009,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,9.6
2009,wijken,NG,Elzenhagen,12.1
2009,wijken,NH,Buikslotermeer,23.4
2009,wijken,NJ,Waterlandpleinbuurt,11.6
2009,wijken,NK,Volewijck,11.5
2009,wijken,NL,IJplein/Vogelbuurt,8.2
2009,wijken,NM,Tuindorp Buiksloot,18.5
2009,wijken,NN,Tuindorp Nieuwendam,22.7
2009,wijken,NP,Noordelijke IJ-oevers-Oost,15.6
2009,wijken,NQ,Waterland,14.2
2009,wijken,SA,Driemond,13.9
2009,wijken,TA,Amstel III/Bullewijk,3.9
2009,wijken,TB,Venserpolder,7.8
2009,wijken,TC,Amsterdamse Poort e.o.,3.3
2009,wijken,TD,H-buurt,3.3
2009,wijken,TE,Ganzenhoef e.o.,2.5
2009,wijken,TF,Geerdinkhof/Kantershof,19
2009,wijken,TG,Bijlmermuseum,4.5
2009,wijken,TH,K-buurt,11.5
2009,wijken,TJ,Holendrecht,11.2
2009,wijken,TK,Nellestein,17.8
2009,wijken,TL,Reigersbos,9.7
2009,wijken,TM,Gein,6.6
2010,wijken,AA,Haarlemmerbuurt,8.1
2010,wijken,AB,Jordaan,9.9
2010,wijken,AC,Grachtengordel-West,9.2
2010,wijken,AD,Burgwallen-Nieuwe Zijde,4.3
2010,wijken,AE,Burgwallen-Oude Zijde,5.3
2010,wijken,AF,Nieuwmarkt/Lastage,9.3
2010,wijken,AG,Grachtengordel-Zuid,10.3
2010,wijken,AH,De Weteringschans,7.9
2010,wijken,AJ,Weesperbuurt/Plantage,14.4
2010,wijken,AK,Oostelijke Eilanden/Kadijken,6.8
2010,wijken,EA,Sloterdijk-West,5.9
2010,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,8.7
