Year,Geography,Code,Name,Mean disposable household income
2009,wijken,NJ,Waterlandpleinbuurt,27200
2009,wijken,NK,Volewijck,23600
2009,wijken,NL,IJplein/Vogelbuurt,24000
2009,wijken,NM,Tuindorp Buiksloot,26600
2009,wijken,NN,Tuindorp Nieuwendam,25700
2009,wijken,NP,Noordelijke IJ-oevers-Oost,
2009,wijken,NQ,Waterland,45000
2009,wijken,SA,Driemond,39200
2009,wijken,TA,Amstel III/Bullewijk,
2009,wijken,TB,Venserpolder,
2009,wijken,TC,Amsterdamse Poort e.o.,
2009,wijken,TD,H-buurt,
2009,wijken,TE,Ganzenhoef e.o.,
2009,wijken,TF,Geerdinkhof/Kantershof,
2009,wijken,TG,Bijlmermuseum,
2009,wijken,TH,K-buurt,
2009,wijken,TJ,Holendrecht,
2009,wijken,TK,Nellestein,31100
2009,wijken,TL,Reigersbos,
2009,wijken,TM,Gein,30600
