Year,Geography,Code,Name,Appearance living environment (1-10)
2011,wijken,FD,Slotermeer-Noordoost,6.2
2011,wijken,FE,Slotermeer-Zuidoost,
2011,wijken,FF,Lutkemeer/Ookmeer,
2011,wijken,FG,De Aker,6.9
2011,wijken,FH,De Punt,6.5
2011,wijken,FJ,Osdorp-Midden,6.6
2011,wijken,FK,Osdorp-Oost,6.8
2011,wijken,FL,Slotervaart-Noord,6.9
2011,wijken,FM,Overtoomse Veld,5.9
2011,wijken,FN,Slotervaart-Zuid,6.4
2011,wijken,FP,Westlandgracht,6.3
2011,wijken,FQ,Sloten/Nieuw-Sloten,7.3
2011,wijken,KA,Hoofddorppleinbuurt,7
2011,wijken,KB,Schinkelbuurt,6.8
2011,wijken,KC,Willemspark,7.7
2011,wijken,KD,Museumkwartier,7.6
2011,wijken,KE,Oude Pijp,6.6
2011,wijken,KF,Nieuwe Pijp,6.7
2011,wijken,KG,Zuid Pijp,6.9
2011,wijken,KH,Stadionbuurt,7.2
2011,wijken,KJ,Apollobuurt,7.8
2011,wijken,KK,Scheldebuurt,7.3
2011,wijken,KL,IJselbuurt,7.1
2011,wijken,KM,Rijnbuurt,7
2011,wijken,KN,Prinses Irenebuurt e.o.,7.6
2011,wijken,KP,Zuidas,
2011,wijken,KQ,Buitenveldert-West,7.1
2011,wijken,KR,Buitenveldert-Oost,7.1
2011,wijken,MA,Oostelijk Havengebied,7.4
2011,wijken,MB,Weesperzijde,6.8
2011,wijken,MC,Oosterparkbuurt,6.5
2011,wijken,MD,Transvaalbuurt,6.3
2011,wijken,ME,Dapperbuurt,6.5
2011,wijken,MF,Indische Buurt-West,6.4
2011,wijken,MG,Indische Buurt-Oost,6.3
2011,wijken,MH,Zeeburgereiland/Bovendiep,
2011,wijken,MJ,IJburg-West,6.7
2011,wijken,MK,IJburg-Oost,
2011,wijken,ML,IJburg-Zuid,7
2011,wijken,MM,Frankendael,6.9
2011,wijken,MN,Middenmeer,7.2
2011,wijken,MP,Betondorp,7.1
2011,wijken,MQ,Omval/Overamstel,5.3
2011,wijken,NA,Oostzanerwerf,
2011,wijken,NB,Noordelijke IJ-oevers-West,5.7
2011,wijken,NC,Tuindorp Oostzaan,6.6
2011,wijken,ND,Kadoelen,6.8
2011,wijken,NE,Banne Buiksloot,6.4
2011,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,7.9
2011,wijken,NG,Elzenhagen,7
2011,wijken,NH,Buikslotermeer,6.3
2011,wijken,NJ,Waterlandpleinbuurt,6.4
