Year,Geography,Code,Name,13 - 17 years (%)
2009,wijken,FK,Osdorp-Oost,4.8
2009,wijken,FL,Slotervaart-Noord,6.5
2009,wijken,FM,Overtoomse Veld,7.8
2009,wijken,FN,Slotervaart-Zuid,6.1
2009,wijken,FP,Westlandgracht,3
2009,wijken,FQ,Sloten/Nieuw-Sloten,8
2009,wijken,KA,Hoofddorppleinbuurt,2.2
2009,wijken,KB,Schinkelbuurt,2.4
2009,wijken,KC,Willemspark,3.9
2009,wijken,KD,Museumkwartier,3.6
2009,wijken,KE,Oude Pijp,2.1
2009,wijken,KF,Nieuwe Pijp,2.3
2009,wijken,KG,Zuid Pijp,4.4
2009,wijken,KH,Stadionbuurt,3.2
2009,wijken,KJ,Apollobuurt,4.3
2009,wijken,KK,Scheldebuurt,2.8
2009,wijken,KL,IJselbuurt,2.9
2009,wijken,KM,Rijnbuurt,2.6
2009,wijken,KN,Prinses Irenebuurt e.o.,4.5
2009,wijken,KP,Zuidas,2
2009,wijken,KQ,Buitenveldert-West,3.2
2009,wijken,KR,Buitenveldert-Oost,2.2
2009,wijken,MA,Oostelijk Havengebied,4.5
2009,wijken,MB,Weesperzijde,3.1
2009,wijken,MC,Oosterparkbuurt,4.6
2009,wijken,MD,Transvaalbuurt,5.8
2009,wijken,ME,Dapperbuurt,4.6
2009,wijken,MF,Indische Buurt-West,4.1
2009,wijken,MG,Indische Buurt-Oost,5.2
2009,wijken,MH,Zeeburgereiland/Bovendiep,2
2009,wijken,MJ,IJburg-West,4.2
2009,wijken,MK,IJburg-Oost,
2009,wijken,ML,IJburg-Zuid,5.1
2009,wijken,MM,Frankendael,4.3
2009,wijken,MN,Middenmeer,5
2009,wijken,MP,Betondorp,3.1
2009,wijken,MQ,Omval/Overamstel,0.9
2009,wijken,NB,Noordelijke IJ-oevers-West,1.8
2009,wijken,NC,Tuindorp Oostzaan,5.1
2009,wijken,ND,Kadoelen,6.1
2009,wijken,NE,Banne Buiksloot,6.2
2009,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,6.5
2009,wijken,NG,Elzenhagen,7.6
2009,wijken,NH,Buikslotermeer,5
2009,wijken,NJ,Waterlandpleinbuurt,6.3
2009,wijken,NK,Volewijck,5.4
2009,wijken,NL,IJplein/Vogelbuurt,5.4
2009,wijken,NM,Tuindorp Buiksloot,5.2
2009,wijken,NN,Tuindorp Nieuwendam,4.7
2009,wijken,NP,Noordelijke IJ-oevers-Oost,2.5
2009,wijken,NQ,Waterland,5.6
2009,wijken,SA,Driemond,6.5
2009,wijken,TA,Amstel III/Bullewijk,3.9
2009,wijken,TB,Venserpolder,5
2009,wijken,TC,Amsterdamse Poort e.o.,7
2009,wijken,TD,H-buurt,6.4
2009,wijken,TE,Ganzenhoef e.o.,7.2
2009,wijken,TF,Geerdinkhof/Kantershof,3.9
2009,wijken,TG,Bijlmermuseum,6.8
2009,wijken,TH,K-buurt,7
2009,wijken,TJ,Holendrecht,7.9
2009,wijken,TK,Nellestein,2.2
2009,wijken,TL,Reigersbos,5.5
2009,wijken,TM,Gein,6.9
2010,wijken,AA,Haarlemmerbuurt,3
2010,wijken,AB,Jordaan,2.1
2010,wijken,AC,Grachtengordel-West,1.9
2010,wijken,AD,Burgwallen-Nieuwe Zijde,1.1
2010,wijken,AE,Burgwallen-Oude Zijde,1.7
2010,wijken,AF,Nieuwmarkt/Lastage,2.6
2010,wijken,AG,Grachtengordel-Zuid,2.3
2010,wijken,AH,De Weteringschans,2.1
2010,wijken,AJ,Weesperbuurt/Plantage,2.4
2010,wijken,AK,Oostelijke Eilanden/Kadijken,4.1
2010,wijken,EA,Sloterdijk-West,2.2
2010,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,4.2
2010,wijken,EC,Houthavens,1
2010,wijken,ED,De Kolenkit,6.8
2010,wijken,EE,Landlust,4
2010,wijken,EF,Erasmuspark,3.4
2010,wijken,EG,Centrale Markt,6.5
2010,wijken,EH,Staatsliedenbuurt,3.3
2010,wijken,EJ,Frederik Hendrikbuurt,2.9
2010,wijken,EK,Van Galenbuurt,2.9
2010,wijken,EL,Geuzenbuurt,2.3
2010,wijken,EM,Hoofdweg e.o.,3
2010,wijken,EN,Chassébuurt,4.7
2010,wijken,EP,Bellamybuurt,2.4
2010,wijken,EQ,Da Costabuurt,2.2
2010,wijken,ER,Westindische Buurt,2.6
2010,wijken,ES,Van Lennepbuurt,3.1
2010,wijken,ET,Overtoomse Sluis,2.4
2010,wijken,EU,Helmersbuurt,2.4
2010,wijken,EV,Vondelparkbuurt,3.3
2010,wijken,FA,Sloterdijk Nieuw-West,2.9
2010,wijken,FB,Geuzenveld,6.2
2010,wijken,FC,Slotermeer-West,6.6
2010,wijken,FD,Slotermeer-Noordoost,5.2
2010,wijken,FE,Slotermeer-Zuidoost,4.3
2010,wijken,FF,Lutkemeer/Ookmeer,6.9
2010,wijken,FG,De Aker,7.5
2010,wijken,FH,De Punt,4.7
2010,wijken,FJ,Osdorp-Midden,5.8
2010,wijken,FK,Osdorp-Oost,4.5
2010,wijken,FL,Slotervaart-Noord,6.3
2010,wijken,FM,Overtoomse Veld,7.6
2010,wijken,FN,Slotervaart-Zuid,5.8
2010,wijken,FP,Westlandgracht,2.6
2010,wijken,FQ,Sloten/Nieuw-Sloten,7.9
2010,wijken,KA,Hoofddorppleinbuurt,2.3
2010,wijken,KB,Schinkelbuurt,2.4
2010,wijken,KC,Willemspark,3.9
2010,wijken,KD,Museumkwartier,3.5
2010,wijken,KE,Oude Pijp,2.3
2010,wijken,KF,Nieuwe Pijp,2.2
2010,wijken,KG,Zuid Pijp,4.3
2010,wijken,KH,Stadionbuurt,3
2010,wijken,KJ,Apollobuurt,4.4
2010,wijken,KK,Scheldebuurt,2.9
2010,wijken,KL,IJselbuurt,2.7
